p	N	S	T
11	100000	5249.9999997300	0.0021606000
11	220000	5249.9999999442	0.0023625000
11	470000	5249.9999999878	0.0024752000
11	1000000	5249.9999999973	0.0027835000
11	2200000	5249.9999999994	0.0032886000
11	4700000	5249.9999999999	0.0039973000
11	10000000	5250.0000000001	0.0060345000
11	22000000	5250.0000000000	0.0106394000
11	47000000	5249.9999999999	0.0232196000
11	100000000	5249.9999999997	0.0441865000
11	220000000	5250.0000000000	0.0672914000
11	470000000	5249.9999999998	0.1419667000
11	1000000000	5250.0000000000	0.2824563000
11	2200000000	5249.9999999993	0.6407156000
11	4700000000	5249.9999999946	1.3617762000
11	10000000000	5249.9999999771	2.9134858000
12	1	2550.0000000000	0.0021383000
12	2	4575.0000000000	0.0025376000
12	4	5081.2500000000	0.0027595000
12	7	5194.8979591837	0.0023553000
12	10	5223.0000000000	0.0023108000
12	22	5244.4214876033	0.0054299000
12	47	5248.7777274785	0.0021006000
12	100	5249.7300000000	0.0023008000
12	220	5249.9442148760	0.0037398000
12	470	5249.9877772748	0.0020324000
12	1000	5249.9973000000	0.0029924000
12	2200	5249.9994421488	0.0029117000
12	4700	5249.9998777727	0.0026968000
12	10000	5249.9999730000	0.0025874000
12	22000	5249.9999944215	0.0029629000
12	47000	5249.9999987777	0.0026422000
12	100000	5249.9999997300	0.0027351000
12	220000	5249.9999999442	0.0023903000
12	470000	5249.9999999878	0.0024543000
12	1000000	5249.9999999973	0.0029179000
12	2200000	5249.9999999995	0.0033899000
12	4700000	5250.0000000000	0.0043570000
12	10000000	5250.0000000001	0.0068895000
12	22000000	5250.0000000001	0.0119846000
12	47000000	5249.9999999999	0.0217549000
12	100000000	5249.9999999999	0.0450819000
12	220000000	5250.0000000008	0.0714472000
12	470000000	5250.0000000014	0.1555790000
12	1000000000	5250.0000000031	0.3129155000
12	2200000000	5250.0000000079	0.6481176000
12	4700000000	5250.0000000198	1.3642564000
12	10000000000	5250.0000000487	3.0627598001
1	1	2550.0000000000	0.0000045000
1	2	4575.0000000000	0.0000036000
1	4	5081.2500000000	0.0000037000
1	7	5194.8979591837	0.0000039000
1	10	5223.0000000000	0.0000034000
1	22	5244.4214876033	0.0000041000
1	47	5248.7777274785	0.0000039000
1	100	5249.7300000000	0.0000038000
1	220	5249.9442148760	0.0000039000
1	470	5249.9877772748	0.0000056000
1	1000	5249.9973000000	0.0000057000
1	2200	5249.9994421488	0.0000077000
1	4700	5249.9998777728	0.0000129000
1	10000	5249.9999730000	0.0000240000
1	22000	5249.9999944215	0.0000551000
1	47000	5249.9999987777	0.0001060000
1	100000	5249.9999997299	0.0002056000
1	220000	5249.9999999442	0.0004462000
1	470000	5249.9999999877	0.0009645000
1	1000000	5249.9999999975	0.0020108000
1	2200000	5249.9999999997	0.0045289000
1	4700000	5249.9999999993	0.0094424000
1	10000000	5250.0000000004	0.0201048000
1	22000000	5250.0000000003	0.0442526000
1	47000000	5250.0000000014	0.0985496000
1	100000000	5249.9999999997	0.2018155000
1	220000000	5249.9999999990	0.4462545000
1	470000000	5249.9999999987	0.9495019000
1	1000000000	5249.9999999958	2.0243217000
1	2200000000	5249.9999999861	4.4608969000
1	4700000000	5249.9999999630	9.5267506000
1	10000000000	5249.9999998957	20.2853233000
2	1	2550.0000000000	0.0003400000
2	2	4575.0000000000	0.0009268000
2	4	5081.2500000000	0.0004079000
2	7	5194.8979591837	0.0004280000
2	10	5223.0000000000	0.0004326000
2	22	5244.4214876033	0.0003970000
2	47	5248.7777274785	0.0003371000
2	100	5249.7300000000	0.0004103000
2	220	5249.9442148760	0.0004367000
2	470	5249.9877772748	0.0003357000
2	1000	5249.9973000000	0.0003820000
2	2200	5249.9994421488	0.0004094000
2	4700	5249.9998777728	0.0004500000
2	10000	5249.9999730000	0.0004375000
2	22000	5249.9999944215	0.0003716000
2	47000	5249.9999987777	0.0003798000
2	100000	5249.9999997300	0.0005616000
2	220000	5249.9999999441	0.0008864000
2	470000	5249.9999999877	0.0008005000
2	1000000	5249.9999999974	0.0016304000
2	2200000	5249.9999999995	0.0025842000
2	4700000	5249.9999999997	0.0050952000
2	10000000	5250.0000000000	0.0107283000
2	22000000	5250.0000000002	0.0226223000
2	47000000	5250.0000000007	0.0492390000
2	100000000	5249.9999999998	0.1066766000
2	220000000	5249.9999999993	0.2316948000
2	470000000	5249.9999999983	0.4873735000
2	1000000000	5249.9999999953	1.0519019000
2	2200000000	5249.9999999869	2.3085114000
2	4700000000	5249.9999999627	4.9095329000
2	10000000000	5249.9999998949	10.4222855000
3	1	2550.0000000000	0.0004970000
3	2	4575.0000000000	0.0005546000
3	4	5081.2500000000	0.0006007000
3	7	5194.8979591837	0.0006826000
3	10	5223.0000000000	0.0007345000
3	22	5244.4214876033	0.0005551000
3	47	5248.7777274785	0.0005935000
3	100	5249.7300000000	0.0006474000
3	220	5249.9442148760	0.0006997000
3	470	5249.9877772748	0.0006374000
3	1000	5249.9973000000	0.0005995000
3	2200	5249.9994421488	0.0006548000
3	4700	5249.9998777728	0.0006700000
3	10000	5249.9999730000	0.0005641000
